pcn,item,mpn,current_onhand,corrected_onhand,phantom_removed,relabel_adjt_count,relabel_units,loc_to,mfg_qty
30141,7946L-185,RMCF0805JT2K20,4000,0,4000,1,4000,1502203,0
28075,8335ML-200,RC0603FR-07210KL,4000,0,4000,1,4000,1304409,4000
7166,8119-115,RMCF0603FT10K0,4000,0,4000,1,4000,MFG Floor,4000
32163,6163L-8,C1608X7R1H104K080AA,4000,0,4000,1,4000,MFG Floor,4000
17930,8252M-3-55,C0603C104K5RACTU,4000,0,4000,1,4000,MFG Floor,4000
17931,8252M-3-55,C0603C104K5RACTU,4000,0,4000,1,4000,MFG Floor,4000
12853,6163L-8,CC0603JRX7R9BB104,4000,0,4000,1,4000,MFG Floor,4000
10235,8185M-180,2N5551,4000,0,4000,1,4000,2202202,0
33722,8336ML-160,WSL2512R1000FEA,4000,0,4000,1,4000,MFG Floor,4000
40062,7946l-10,C0603C104M5RACTU,4000,0,4000,1,4000,1502101,0
9277,7726-22,MFR-25FRF52100R,6740,2740,4000,1,4000,2205204,1135
24244,6590L-14,743C083103JPTR,4000,0,4000,1,4000,MFG Floor,4000
12596,ACI-7003,MF25C12R0FT,8000,4000,4000,1,4000,2102111,0
8112,8317-270,ERJ-6ENF4992V,4000,0,4000,1,4000,MFG Floor,0
32126,8481L-260,RC0603FR-0710KL,4000,0,4000,1,4000,MFG Floor,4000
4256,8125L-35,CRG0603F1M0,3950,0,3950,1,3950,MFG Floor,3950
33701,8335ML-15,06035C104KAZ2A,3950,0,3950,1,3950,MFG Floor,3950
26876,8243-1-40,RC0805FR-073K3L,3950,0,3950,1,3950,MFG Floor,3950
2490,8124L-65,CRCW06031M00FKEA,3900,0,3900,1,3900,MFG Floor,3900
351,7990M-54,CRCW0805200KFKEA,3900,0,3900,1,3900,MFG Floor,3900
11528,8119L-115,ERJ-3GEYJ103V,3900,0,3900,1,3900,MFG Floor,3900
1541,8119-5,CC0603KRX7R9BB102,3850,0,3850,1,3850,MFG Floor,3850
12356,8080L-330,ERJ-3EKF1002V,3800,0,3800,1,3800,MFG Floor,3800
31528,6519l-2-5,CRCW1206100KFKEA,3800,0,3800,1,3800,MFG Floor,3800
37706,7946l-345,BLM18KG601SN1D,7600,3800,3800,1,3800,1502304,0
9163,7906-9,RNF14FTD750R,7000,3250,3750,1,3750,2102201,500
969,8024L-54,ERJ-3EKF2491V,3700,0,3700,1,3700,14041116,0
731,8208M-225,ERJ-3EKF5622V,3700,0,3700,1,3700,1405206,0
1847,6753-14,C0805C104J5RAC7800,3700,0,3700,1,3700,MFG Floor,3700
2554,7816L-8,GRM188R71H104KA93D,3600,0,3600,1,3870,MFG Floor,3870
24779,8119L-115,RC0603JR-0710KL,3560,0,3560,1,3560,MFG Floor,3560
34314,6970L-2A-20,CRCW1206100KFKEA,3500,0,3500,1,3500,MFG Floor,3500
30254,8243-1-45,RC0805FR-074K7L,3500,0,3500,1,3500,MFG Floor,3500
1134,8243-65,CRCW0805120RFKEA,3500,0,3500,1,3500,MFG Floor,3500
9041,6779ML-34,1N4739A-TR,7000,3500,3500,1,3500,2104203,0
8979,6390-29,MF1/4DCT52R3322F,3500,0,3500,1,3500,MFG Floor,2300
8604,8143m-55,SFR16S0001000FR500,6985,3485,3500,1,3500,2103111,15
4173,ACI-3468,RT0603FRE074K7L,7000,3500,3500,1,3500,15051420,0
33200,7249-4,CC0603KRX7R9BB104,3500,0,3500,1,3500,MFG Floor,3500
29819,7946l-35,PC0603C103K5RACTU,3500,0,3500,1,3500,1502101,0
11402,8119L-10,C1608X7R1E104K080AA,3400,0,3400,1,3400,MFG Floor,3400
21265,8584M-230,RMCF0603FT49K9,3400,0,3400,1,3400,MFG Floor,3400
1848,6753-14,C0805C104K5RAC7800,3600,200,3400,2,3400,MFG Floor,1700
511,7785-38,ERJ-2RKF1002X,3400,0,3400,1,3400,MFG Floor,3400
2607,8438-5,CRCW080510K0JNEA,3380,0,3380,2,3380,1406113,1690
2004,ACI-1855,CC1206KRX7R9BB224,6672,3336,3336,1,3336,1205423,0
2587,7990M-14,C0805C103K5RAC7800,3300,0,3300,1,3300,MFG Floor,3300
8811,7727-90,RNMF14FTC4K70,4475,1175,3300,2,3300,2104111,125
1858,7826-35,C0603C104J5RAC7867,3200,0,3200,1,3200,MFG Floor,3200
8774,7669-3,MF1/4DCT52R8201F,3000,0,3000,1,3000,MFG Floor,2275
33307,7944L-36,ERJ-3EKF1002V,3000,0,3000,1,3000,MFG Floor,3000
34534,7307-1,C0805C104K5RACTU,3000,0,3000,1,3000,MFG Floor,3000
30080,7183l-5,C0603C103J5RACTU,3000,0,3000,1,3000,MFG Floor,3000
2265,6225-8,RC0805FR-073K3L,3000,0,3000,1,3000,MFG Floor,3000
9081,7728-310,MF1/4DCT52R3010F,5925,2925,3000,1,3000,2201104,75
25743,6163L-9,GRM21BR61E106KA73L,3000,0,3000,1,3000,MFG Floor,3000
29122,ACI-10432,IS354,6000,3000,3000,1,3000,1103317,0
8318,8095-25,GCM21BR72A104KA37L,3000,0,3000,1,3000,MFG Floor,3000
32131,8481L-200,RC0603FR-071KL,3000,0,3000,1,3000,MFG Floor,3000
13556,8167M-355,"74LVC1GU04GW,125",3000,0,3000,1,3000,MFG Floor,3000
29102,7754l-5,CRCW1206220RFKEA,3000,0,3000,1,3000,MFG Floor,3000
40176,8119L-115,ERJ-3GEYJ103V,3000,0,3000,1,3970,MFG Floor,3970
32907,7946L-165,ERJ-6GEYJ560V,3000,0,3000,1,3000,1502202,0
37493,7905-11,RNMF14FTC10K0,2980,0,2980,1,2980,MFG Floor,2980
3854,7686-17,MI0603M121R-10,2954,0,2954,1,2954,MFG Floor,2954
30156,8243-75,RMCF0805JT4K70,2950,0,2950,1,2950,MFG Floor,2950
1737,6753-14,C0805C104K5RAC7800,2900,0,2900,1,2900,MFG Floor,2900
2329,6590-28,1N4148WS-7-F,2900,0,2900,1,2900,MFG Floor,2900
1343,8257M-3-95,ERJ-8GEY0R00V,2900,0,2900,1,2900,MFG Floor,2900
493,8335ML-180,RC0603FR-0710KL,2900,0,2900,1,2900,MFG Floor,2900
1102,8343ML-470,CRCW0603150RFKEA,2880,0,2880,1,2880,MFG Floor,0
1860,7363L-15,C1608X7R1H104K080AA,2800,0,2800,1,2800,MFG Floor,2800
1896,8142M-370,ERJ-2RKF1002X,2800,0,2800,1,2800,MFG Floor,2800
25016,6163L-8,C1608X7R1H104K080AA,2800,0,2800,1,2800,MFG Floor,2800
20989,8119L-115,RC0603JR-0710KL,2680,0,2680,1,2700,MFG Floor,2700
